indicator,sex_modifier,needs,unicef_target,unicef_total_results,unicef_previous_results,unicef_progress_rate,sector_target,sector_total_results,sector_previous_results,sector_progress_rate
Access to education,Total,3083702,866711,88863,39137,10.25,1201151,276672,117071,23.03
Access to education,Girls,1541851,433356,41750,18641,9.63,600576,124583,56036,20.74
Access to education,Boys,1541851,433355,47113,20496,10.87,600575,152089,61035,25.32
Learning materials,Total,1541850,433356,108726,71112,25.09,600578,176526,102722,29.39
Learning materials,Girls,770925,216678,47388,29429,21.87,300289,85470,46021,28.46
Learning materials,Boys,770925,216678,61338,41683,28.31,300289,96259,56701,32.06
