county_month,indicator1_all_total_children,indicator1_all_boys,indicator1_all_girls,indicator1_host_community_total_children,indicator1_host_community_boys,indicator1_host_community_girls,indicator1_idps_total_children,indicator1_idps_boys,indicator1_idps_girls,indicator1_refugees_total_children,indicator1_refugees_boys,indicator1_refugees_girls,indicator1_cwd_total_children,indicator1_cwd_boys,indicator1_cwd_girls,indicator1_narrative,x1,indicator2_all_total_children,indicator2_all_boys,indicator2_all_girls,indicator2_host_community_total_children,indicator2_host_community_boys,indicator2_host_community_girls,indicator2_idps_total_children,indicator2_idps_boys,indicator2_idps_girls,indicator2_refugees_total_children,indicator2_refugees_boys,indicator2_refugees_girls,indicator2_cwd_total_children,indicator2_cwd_boys,indicator2_cwd_girls,indicator2_new_latrines,indicator2_rehabiltated_latrines,indicator2_new_classrooms,indicator2_rehabilitated_classrooms,indicator2_narrative,x2,indicator3_all_total_children,indicator3_all_boys,indicator3_all_girls,indicator3_host_community_total_children,indicator3_host_community_boys,indicator3_host_community_girls,indicator3_idps_total_children,indicator3_idps_boys,indicator3_idps_girls,indicator3_refugees_total_children,indicator3_refugees_boys,indicator3_refugees_girls,indicator3_cwd_total_children,indicator3_cwd_boys,indicator3_cwd_girls,indicator3_narrative,x3,indicator4_all_total_adults,indicator4_all_male,indicator4_all_female,indicator4_host_community_total_adults,indicator4_host_community_male,indicator4_host_community_female,indicator4_idps_total_adults,indicator4_idps_male,indicator4_idps_female,indicator4_refugees_total_adults,indicator4_refugees_male,indicator4_refugees_female,indicator4_narrative,x4,indicator5_all_total_adults,indicator5_all_male,indicator5_all_female,indicator5_host_community_total_adults,indicator5_host_community_male,indicator5_host_community_female,indicator5_idps_total_adults,indicator5_idps_male,indicator5_idps_female,indicator5_refugees_total_adults,indicator5_refugees_male,indicator5_refugees_female,indicator5_narrative,x5,indicator6_all_total_adults,indicator6_all_male,indicator6_all_female,indicator6_narrative,x6,indicator7_all_total_children,indicator7_all_boys,indicator7_all_girls,indicator7_host_community_total_children,indicator7_host_community_boys,indicator7_host_community_girls,indicator7_idps_total_children,indicator7_idps_boys,indicator7_idps_girls,indicator7_refugees_total_children,indicator7_refugees_boys,indicator7_refugees_girls,indicator7_cwd_total_children,indicator7_cwd_boys,indicator7_cwd_girls,indicator7_narrative
Total January,4902,2716,2186,4902,2716,2186,0,0,0,0,0,0,0,0,0,,,2548,1303,1245,2548,1303,1245,0,0,0,0,0,0,0,0,0,0,10,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,29,10,19,29,10,19,0,0,0,0,0,0,,,496,305,191,496,305,191,0,0,0,0,0,0,,,0,0,0,,,682,313,369,682,313,369,0,0,0,0,0,0,0,0,0,
Total February,8165,3826,4339,6754,3045,3709,0,0,0,1411,781,630,95,35,60,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,20496,11287,9209,390,209,181,0,0,0,20106,11078,9028,770,457,313,,,150,119,31,28,18,10,0,0,0,122,101,21,,,396,315,81,8,86,15,0,0,0,295,229,66,,,0,0,0,,,105,0,105,0,0,0,0,0,0,105,0,105,0,0,0,
Total March,12448,6814,5634,12448,6814,5634,0,0,0,0,0,0,25,15,10,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,49881,30029,19852,4198,2343,1855,0,0,0,45683,27686,17997,0,0,0,,,740,495,245,170,449,239,0,0,0,52,46,6,,,1741,933,808,1741,933,808,0,0,0,0,0,0,,,0,0,0,,,33145,20294,12851,8319,4064,4255,0,0,0,24826,16230,8596,0,0,0,
Total April,9824,5102,4722,6671,5087,4713,0,0,0,24,15,9,1001,471,530,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,598,226,372,379,181,198,0,0,0,219,45,174,,,113,79,34,113,79,34,0,0,0,0,0,0,,,84,60,24,,,2223,1085,1138,2223,1085,1138,0,0,0,0,0,0,0,0,0,
Total May,5485,2835,2650,2574,2835,2650,0,0,0,0,0,0,0,0,0,,,14290,7311,6979,14290,7311,6979,0,0,0,0,0,0,0,0,0,0,0,0,0,,,19720,9431,10289,19720,9431,10289,0,0,0,0,0,0,0,0,0,,,71,28,43,71,28,43,0,0,0,0,0,0,,,1318,483,835,1318,483,835,0,0,0,0,0,0,,,0,0,0,,,7336,2396,4940,7336,2396,4940,0,0,0,0,0,0,0,0,0,
Total June,19019,9810,9209,16359,9810,9209,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,56,44,12,56,44,12,0,0,0,0,0,0,,,148,66,82,,,1959,1085,874,1959,1085,874,0,0,0,0,0,0,0,0,0,
