indicator,sex_modifier,needs,unicef_target,unicef_total_results,unicef_previous_results,unicef_progress_rate,sector_target,sector_total_results,sector_previous_results,sector_progress_rate
Access to education,Total,3083702,866711,147338,87064,17,1201151,399806,335691,33.29
Access to education,Girls,1541851,433356,66480,41255,15.34,600576,178537,151423,29.73
Access to education,Boys,1541851,433355,80858,45809,18.66,600575,221269,184268,36.84
Learning materials,Total,1541850,433356,127413,108726,29.4,600578,200130,181443,33.32
Learning materials,Girls,770925,216678,55622,47388,25.67,300289,96181,87947,32.03
Learning materials,Boys,770925,216678,73791,61338,34.06,300289,111152,98699,37.02
Learning materials,Total,1541850,433356,0,0,0,600578,0,0,0
Learning materials,Girls,770925,216678,0,0,0,300289,0,0,0
Learning materials,Boys,770925,216678,0,0,0,300289,0,0,0
