county_month,indicator1_all_total_children,indicator1_all_boys,indicator1_all_girls,indicator1_host_community_total_children,indicator1_host_community_boys,indicator1_host_community_girls,indicator1_idps_total_children,indicator1_idps_boys,indicator1_idps_girls,indicator1_refugees_total_children,indicator1_refugees_boys,indicator1_refugees_girls,indicator1_cwd_total_children,indicator1_cwd_boys,indicator1_cwd_girls,indicator1_narrative,x1,indicator2_all_total_children,indicator2_all_boys,indicator2_all_girls,indicator2_host_community_total_children,indicator2_host_community_boys,indicator2_host_community_girls,indicator2_idps_total_children,indicator2_idps_boys,indicator2_idps_girls,indicator2_refugees_total_children,indicator2_refugees_boys,indicator2_refugees_girls,indicator2_cwd_total_children,indicator2_cwd_boys,indicator2_cwd_girls,indicator2_new_latrines,indicator2_rehabiltated_latrines,indicator2_new_classrooms,indicator2_rehabilitated_classrooms,indicator2_narrative,x2,indicator3_all_total_children,indicator3_all_boys,indicator3_all_girls,indicator3_host_community_total_children,indicator3_host_community_boys,indicator3_host_community_girls,indicator3_idps_total_children,indicator3_idps_boys,indicator3_idps_girls,indicator3_refugees_total_children,indicator3_refugees_boys,indicator3_refugees_girls,indicator3_cwd_total_children,indicator3_cwd_boys,indicator3_cwd_girls,indicator3_narrative,x3,indicator4_all_total_adults,indicator4_all_male,indicator4_all_female,indicator4_host_community_total_adults,indicator4_host_community_male,indicator4_host_community_female,indicator4_idps_total_adults,indicator4_idps_male,indicator4_idps_female,indicator4_refugees_total_adults,indicator4_refugees_male,indicator4_refugees_female,indicator4_narrative,x4,indicator5_all_total_adults,indicator5_all_male,indicator5_all_female,indicator5_host_community_total_adults,indicator5_host_community_male,indicator5_host_community_female,indicator5_idps_total_adults,indicator5_idps_male,indicator5_idps_female,indicator5_refugees_total_adults,indicator5_refugees_male,indicator5_refugees_female,indicator5_narrative,x5,indicator6_all_total_adults,indicator6_all_male,indicator6_all_female,indicator6_narrative,x6,indicator7_all_total_children,indicator7_all_boys,indicator7_all_girls,indicator7_host_community_total_children,indicator7_host_community_boys,indicator7_host_community_girls,indicator7_idps_total_children,indicator7_idps_boys,indicator7_idps_girls,indicator7_refugees_total_children,indicator7_refugees_boys,indicator7_refugees_girls,indicator7_cwd_total_children,indicator7_cwd_boys,indicator7_cwd_girls,indicator7_narrative
Wajir May,326,210,116,326,210,116,0,0,0,0,0,0,0,0,0,CDE Wajir with support from UNICEF conducted 2 enrolment campaigns to enrol a total of 361 children in 50 target schools.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,190,114,76,190,114,76,0,0,0,0,0,0,0,0,0,"Save the Children International (SCI) supported teachers to provide mental health and psychosocial services to a total of 190 (114 boys, 76 girls) in 5 primary schools"
Wajir June,322,181,141,322,181,141,0,0,0,0,0,0,0,0,0,"Save the Children  with support from UNICEF conducted enrolment drives and moblized and enrolled 322 (181 boys, 141 girls) in the 6 sub-counties .",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,421,293,128,421,293,128,0,0,0,0,0,0,0,0,0,"421 (293 boys, 128 girls) have benefited from the schoolâ€™s monthly mentorship session"
Wajir July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,25,22,3,25,22,3,0,0,0,0,0,0,25  tteachers from Buna and Elas sub counties in wajir were trained on MHPSS and child protection activties,,0,0,0,"NA",,2529,1377,1152,2529,1377,1152,0,0,0,0,0,0,0,0,0,a total of 2529  Learners were  provided with mentorship to support retention
West Pokot Total,11478,5699,5779,11478,5699,5779,0,0,0,0,0,0,250,110,140,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,90,44,46,90,44,46,0,0,0,0,0,0,NA,,45,37,8,45,37,8,0,0,0,0,0,0,NA,,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
West Pokot January,280,149,131,280,149,131,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,29,10,19,29,10,19,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
West Pokot February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
West Pokot March,1769,901,868,1769,901,868,0,0,0,0,0,0,0,0,0,"Rigorous school and community based OOSC enrolment drives were conducted through child-to-child, door-to-door approaches, and public gatherings (barazas).",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,45,37,8,45,37,8,0,0,0,0,0,0,School Board Of Management (BOM) members from OOSC project schools were trained on leadership and development of the School Improvement Plan (SIP).,,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
West Pokot April,2875,1470,1405,2875,1470,1405,0,0,0,0,0,0,250,110,140,Enrolment drive campaigns at school level towards improved re-enrolment of OOSC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,29,10,19,29,10,19,0,0,0,0,0,0,"Secondary school teachers in have been trained on Mentorship, Mental Health and Psychosocial support",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
West Pokot May,44,28,16,44,28,16,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
West Pokot June,1223,559,664,1223,559,664,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
West Pokot July,5287,2592,2695,5287,2592,2695,0,0,0,0,0,0,0,0,0,Enrolment drive campaigns at school level towards improved enrolment of OOSC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,32,24,8,32,24,8,0,0,0,0,0,0,"Headteachers,guidnace and counseling teachers trained on mentorship, mental healthand osychosocial support (MPHSS) and child protection",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
