county_month,indicator1_all_total_children,indicator1_all_boys,indicator1_all_girls,indicator1_host_community_total_children,indicator1_host_community_boys,indicator1_host_community_girls,indicator1_idps_total_children,indicator1_idps_boys,indicator1_idps_girls,indicator1_refugees_total_children,indicator1_refugees_boys,indicator1_refugees_girls,indicator1_cwd_total_children,indicator1_cwd_boys,indicator1_cwd_girls,indicator1_narrative,x1,indicator2_all_total_children,indicator2_all_boys,indicator2_all_girls,indicator2_host_community_total_children,indicator2_host_community_boys,indicator2_host_community_girls,indicator2_idps_total_children,indicator2_idps_boys,indicator2_idps_girls,indicator2_refugees_total_children,indicator2_refugees_boys,indicator2_refugees_girls,indicator2_cwd_total_children,indicator2_cwd_boys,indicator2_cwd_girls,indicator2_new_latrines,indicator2_rehabiltated_latrines,indicator2_new_classrooms,indicator2_rehabilitated_classrooms,indicator2_narrative,x2,indicator3_all_total_children,indicator3_all_boys,indicator3_all_girls,indicator3_host_community_total_children,indicator3_host_community_boys,indicator3_host_community_girls,indicator3_idps_total_children,indicator3_idps_boys,indicator3_idps_girls,indicator3_refugees_total_children,indicator3_refugees_boys,indicator3_refugees_girls,indicator3_cwd_total_children,indicator3_cwd_boys,indicator3_cwd_girls,indicator3_narrative,x3,indicator4_all_total_adults,indicator4_all_male,indicator4_all_female,indicator4_host_community_total_adults,indicator4_host_community_male,indicator4_host_community_female,indicator4_idps_total_adults,indicator4_idps_male,indicator4_idps_female,indicator4_refugees_total_adults,indicator4_refugees_male,indicator4_refugees_female,indicator4_narrative,x4,indicator5_all_total_adults,indicator5_all_male,indicator5_all_female,indicator5_host_community_total_adults,indicator5_host_community_male,indicator5_host_community_female,indicator5_idps_total_adults,indicator5_idps_male,indicator5_idps_female,indicator5_refugees_total_adults,indicator5_refugees_male,indicator5_refugees_female,indicator5_narrative,x5,indicator6_all_total_adults,indicator6_all_male,indicator6_all_female,indicator6_narrative,x6,indicator7_all_total_children,indicator7_all_boys,indicator7_all_girls,indicator7_host_community_total_children,indicator7_host_community_boys,indicator7_host_community_girls,indicator7_idps_total_children,indicator7_idps_boys,indicator7_idps_girls,indicator7_refugees_total_children,indicator7_refugees_boys,indicator7_refugees_girls,indicator7_cwd_total_children,indicator7_cwd_boys,indicator7_cwd_girls,indicator7_narrative
Kisumu March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Kisumu April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Kisumu May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Kisumu June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Kisumu July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Kitui Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Kitui January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Kitui February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Kitui March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Kitui April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Kitui May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Kitui June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Kitui July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Kwale Total,4578,2313,2265,4578,2313,2265,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,44,22,22,44,22,22,0,0,0,0,0,0,NA,,53,39,14,53,39,14,0,0,0,0,0,0,NA,,0,0,0,NA,,2231,1366,865,2231,1366,865,0,0,0,0,0,0,0,0,0,NA
Kwale January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Kwale February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Kwale March,442,200,242,442,200,242,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,2000,1200,800,2000,1200,800,0,0,0,0,0,0,0,0,0,"NA"
Kwale April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Kwale May,359,200,159,359,200,159,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Kwale June,3777,1913,1864,3777,1913,1864,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,231,166,65,231,166,65,0,0,0,0,0,0,0,0,0,"NA"
Kwale July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,44,22,22,44,22,22,0,0,0,0,0,0,"NA",,53,39,14,53,39,14,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Laikipia Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,44,22,22,44,22,22,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Laikipia January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Laikipia February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Laikipia March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Laikipia April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Laikipia May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Laikipia June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Laikipia July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,44,22,22,44,22,22,0,0,0,0,0,0,Mentorship and Lifeskills,,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Lamu Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Lamu January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Lamu February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Lamu March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Lamu April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Lamu May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Lamu June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Lamu July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Makueni Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Makueni January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Makueni February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Makueni March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Makueni April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Makueni May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Makueni June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Makueni July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Mandera Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,600,360,240,600,360,240,0,0,0,0,0,0,0,0,0,NA,,150,139,11,150,139,11,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Mandera January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Mandera February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Mandera March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,600,360,240,600,360,240,0,0,0,0,0,0,0,0,0,UNICEF  supported CDE Mandera to provide 200 desks benefiting 600 children,,150,139,11,150,139,11,0,0,0,0,0,0,A total of 150 teachers were provided with incentives by CDE mandera through UNICEF support to provide catch up classes for newly enrolled children in 100 target schools.,,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Mandera April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Mandera May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Mandera June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Mandera July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Marsabit Total,3664,2203,1461,3664,2203,1461,0,0,0,0,0,0,0,0,0,NA,,16838,8614,8224,16838,8614,8224,0,0,0,0,0,0,0,0,0,0,10,0,0,NA,,19720,9431,10289,19720,9431,10289,0,0,0,0,0,0,0,0,0,NA,,186,162,24,186,162,24,0,0,0,0,0,0,NA,,148,123,25,148,123,25,0,0,0,0,0,0,NA,,0,0,0,NA,,288,134,154,288,134,154,0,0,0,0,0,0,0,0,0,NA
Marsabit January,500,271,229,500,271,229,0,0,0,0,0,0,0,0,0,Moblization of OOSC back to school,,2548,1303,1245,2548,1303,1245,0,0,0,0,0,0,0,0,0,0,10,0,0,"2 latrine units in each of the following  5 schools Hekima primary, Saku primary, Boruharo primary, St Peter primary and Badassa primary schools",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Marsabit February,1000,646,354,1000,646,354,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,93,83,10,93,83,10,0,0,0,0,0,0,1BOM Capacity building on mobilization and retention of OOSC,,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
