partner
AVSI Foundation
Action for Sustainable Change
Bartabwa
ChildFund Kenya
County Director of Education Mandera
County Director of Education Marsabit
County Director of Education Wajir
Dignitas
ERIKs Development Partner
Edukans
Emali Dedicated Children Agency
Evangelizing Sisters of Mary
Feed the Children
Finn Church Aid
Food for the Hungry
Frontiers Community Development Organization
Futebol da Forcaa
Homa Bay County
IWS
Jesuit Refugee Service
KENYA NATIONAL COMMISSION FOR UNESCO
Life Skills Promoters
Lifeskills Promoters
Lutheran World Federation
MOE/TSC
Ministry of Education
Missionary Sisters of the Catechism
"MoE, KNATCOM, STEM Impact Centre"
Mondi
Nawiri Children Development Program
Norwegian Refugee Council
Population Council
Qatar Charity
SMB
Samburu Children Program
Save the Children
Servants of the Poor
Special Olympics Kenya
Tana North and Tana Delta
The Girl Child Network
UNESCO
UNICEF
Voluntary Service Overseas
We World
Windle International
Women Educational Researchers of Kenya
World Vision Kenya
