indicator,sex_modifier,needs,unicef_target,unicef_total_results,unicef_previous_results,unicef_progress_rate,sector_target,sector_total_results,sector_previous_results,sector_progress_rate
Access to education,Total,3083702,866711,170873,152186,19.72,1201151,503836,461832,41.95
Access to education,Girls,1541851,433356,74534,68300,17.2,600576,222720,205488,37.08
Access to education,Boys,1541851,433355,96339,83886,22.23,600575,281116,256344,46.81
Learning materials,Total,1541850,433356,137524,137524,31.73,600578,232352,210241,38.69
Learning materials,Girls,770925,216678,59308,59308,27.37,300289,110341,99867,36.74
Learning materials,Boys,770925,216678,80216,80216,37.02,300289,129214,117577,43.03
