indicator,sex_modifier,needs,unicef_target,unicef_total_results,unicef_previous_results,unicef_progress_rate,sector_target,sector_total_results,sector_previous_results,sector_progress_rate
Access to education,Total,3083702,866711,54675,39863,6.31,1201151,184534,138126,15.36
Access to education,Girls,1541851,433356,26126,19023,6.03,600576,84161,63689,14.01
Access to education,Boys,1541851,433355,28549,20840,6.59,600575,100373,74437,16.71
Learning materials,Total,1541850,433356,108636,90832,25.07,600578,170549,134664,28.4
Learning materials,Girls,770925,216678,47298,39718,21.83,300289,82876,63137,27.6
Learning materials,Boys,770925,216678,61338,51114,28.31,300289,92876,72327,30.93
